from,to,weight
LDC,Django,0
LDC,Once,0
LDC,SLJ,2
LDC,CW,1
LDC,ZB,2
LDC,BP,1
LDC,KR,1
SLJ,TR,2
SLJ,Pulp,0
SLJ,KB1,0
SLJ,Inglourious,0
SLJ,Django,0
SLJ,Hateful,0
SLJ,CW,2
SLJ,LDC,1
SLJ,BP,1
SLJ,ZB,2
SLJ,UT,2
SLJ,BW,1
SLJ,KR,1
BP,Inglourious,0
BP,Once,0
BP,SLJ,1
BP,LDC,1
BP,CW,1
BP,ZB,1
BP,KR,1
CW,Inglourious,0
CW,Django,0
CW,SLJ,2
CW,LDC,1
CW,BP,1
CW,ZB,1
TR,Dogs,0
TR,Pulp,0
TR,Hateful,0
TR,SLJ,2
TR,ZB,1
TR,KR,1
TR,UT,1
TR,BW,1
ZB,Death,0
ZB,Django,0
ZB,Hateful,0
ZB,Once,0
ZB,SLJ,2
ZB,LDC,2
ZB,CW,1
ZB,KR,3
UT,Pulp,0
UT,KB1,0
UT,KB2,0
UT,SLJ,2
UT,TR,1
UT,BW,1
BW,Pulp,0
BW,SLJ,1
BW,TR,1
BW,UT,1
KR,Death,0
KR,Hateful,0
KR,Once,0
KR,SLJ,1
KR,BP,1
KR,TR,1
KR,LDC,1
KR,ZB,3
RU,Dogs,0
RU,TR,1
TR,RU,1
RU,MT,1
MT,RU,1
RU,DA,1
DA,RU,1
RU,LB,1
LB,RU,1
RU,RG,1
RG,RU,1
RU,MH,1
MH,RU,1
RU,RW,1
RW,RU,1
MT,Dogs,0
MT,TR,1
TR,MT,1
MT,DA,1
DA,MT,1
MT,LB,1
LB,MT,1
MT,RG,1
RG,MT,1
MT,MH,1
MH,MT,1
MT,RW,1
RW,MT,1
DA,LB,1
LB,DA,1
DA,RG,1
RG,DA,1
DA,Dogs,0
DA,MH,1
MH,DA,1
DA,TR,1
TR,DA,1
DA,RW,1
RW,DA,1
RG,Dogs,0
RG,TR,2
TR,RG,2
RG,MH,1
MH,RG,1
RG,RW,1
RW,RG,1
MH,Dogs,0
MH,TR,1
TR,MH,1
MH,RW,1
RW,MH,1
RW,Dogs,0
RW,TR,1
TR,RW,1
MD,Pulp,0
MD,SLJ,1
SLJ,MD,1
MD,TR,1
TR,MD,1
MD,UT,1
UT,MD,1
MD,BW,1
BW,MD,1
MD,RM,1
RM,MD,1
MD,LB,1
LB,MD,1
MD,DDV,1
DDV,MD,1
MD,MS,1
MS,MD,1
MD,StS,1
StS,MD,1
RM,Pulp,0
RM ,SLJ,1
SLJ,RM,1
RM,TR,1
TR,RM,1
RM,UT,1
UT,RM,1
RM,BW,1
BW,RM,1
RM,LB,1
LB,RM,1
RM,DDV,1
DDV,RM,1
RM,MS,1
MS,RM,1
RM,StS,1
StS,RM,1
LB,Pulp,0
LB,DDV,1
DDV,LB,1
LB,MS,1
MS,LB,1
LB,StS,1
StS,LB,1
LB,SLJ,3
SLJ,LB,3
LB,TR,2
TR,LB,2
LB,UT,2
UT,LB,2
LB,BW,1
BW,LB,1
DDV,Pulp,0
DDV,SLJ,1
SLJ,DDV,1
DDV,TR,1
TR,DDV,1
DDV,UT,1
UT,DDV,1
DDV,BW,1
BW,DDV,1
DDV,MS,1
MS,DDV,1
DDV,StS,1
StS,DDV,1
HB,KB1,0
HB,SLJ,1
SLJ,HB,1
HB,UT,1
UT,HB,1
HB,GF,1
GF,HB,1
HB,LB,1
LB,HB,1
HB,ES,1
ES,HB,1
HB,EBW,1
EBW,HB,1
BWe,HB,1
HB,BWe,1
HB,HW,1
HW,HB,1
GF,KB1,0
GF,SLJ,1
SLJ,GF,1
GF,UT,1
UT,GF,1
GF,LB,1
LB,GF,1
GF,ES,1
ES,GF,1
GF,EWB,1
EWB,GF,1
GF,BWe,1
BWe,GF,1
GF,HW,1
HW,GF,1
LB,KB1,0
LB,ES,3
ES,LB,3
LB,EWB,1
EWB,LB,1
LB,BWe,2
BWe,LB,2
LB,HW,2
HW,LB,2
ES,KB1,0
ES,EWB,1
EWB,ES,1
ES,BWe,4
BWe,ES,4
ES,HW,4
HW,ES,4
HB,KB2,0
GF,KB2,0
LB,KB2,0
ES,KB2,0
EWB,KB2,0
BWe,KB2,0
HW,KB2,0
FS,Death,0
FS,KR,1
KR,FS,1
FS,ZB,1
ZB,FS,1
FS,JS,1
JS,FS,1
FS,KK,1
KK,FS,1
FS,RC,1
RC,FS,1
FS,EA,1
EA,FS,1
FS,RR,1
RR,FS,1
FS,ES,1
ES,FS,1
FS,QT,1
QT,FS,1
FS,SMI,1
SMI,FS,1
FS,BWe,1
BWe,FS,1
FS,HW,1
HW,FS,1
JS,Death,0
JS,KR,1
KR,JS,1
JS,ZB,1
ZB ,JS,1
JS,KK,1
KK,JS,1
JS,RC,1
RC,JS,1
JS,EA,1
EA,JS,1
JS,RR,1
RR,JS,1
JS,ES,1
ES,JS,1
JS,QT,1
QT,JS,1
JS,SMI,1
SMI,JS,1
JS,BWe,1
BWe,JS,1
JS,HW,1
HW,JS,1
KK,Death,0
KK,KR,1
KR,KK,1
KK,ZB,1
ZB,KK,1
KK,RC,1
RC,KK,1
KK,EA,1
EA,KK,1
KK,RR,1
RR,KK,1
KK,ES,1
ES,KK,1
KK,QT,1
QT,KK,1
KK,SMI,1
SMI,KK,1
KK,BWe,1
BWe,KK,1
KK,HW,1
HW,KK,1
RC,Death,0
RC,KR,1
KR,RC,1
RC,ZB,1
ZB,RC,1
RC,EA,1
EA,RC,1
RC,RR,1
RR,RC,1
RC,ES,1
ES,RC,1
RC,QT,1
QT,RC,1
RC,SMI,1
SMI,RC,1
RC,BWe,1
BWe,RC,1
RC,HW,1
HW,RC,1
EA,Death,0
EA,KR,1
KR,EA,1
EA,ZB,1
ZB,EA,1
EA,RR,1
RR,EA,1
EA,ES,1
ES,EA,1
EA,QT,1
QT,EA,1
EA,SMI,1
SMI,EA,1
EA,BWe,1
BWe,EA,1
EA,HW,1
HW,EA,1
RR,Death,0
RR,KR,1
KR,RR,1
RR,ZB,1
ZB,RR,1
RR,ES,1
ES,RR,1
RR,QT,1
QT,RR,1
RR,SMI,1
SMI,RR,1
RR,BWe,1
BWe,RR,1
RR,HW,1
HW,RR,1
ES,Death,0
ES,QT,1
QT,ES,1
ES,SMI,1
SMI,ES,1
QT,Death,0
QT,KR,2
KR,QT,2
QT,ZB,2
ZB,QT,2
QT,SMI,2
SMI,QT,2
QT,BWe,1
BWe,QT,1
QT,HW,1
HW,QT,1
SMI,Death,0
SMI,KR,2
KR,SMI,2
SMI,ZB,4
ZB,SMI,4
SMI,BWe,3
BWe,SMI,3
SMI,HW,3
HW,SMI,3
BWe,Death,0
BWe,KR,2
KR,BWe,2
BWe,ZB,2
ZB,BWe,2
BWe,HW,6
HW,BWe,6
BWe,KB1,0
HW,KB1,0
BWe,SLJ,4
SLJ,BWe,4
BWe,UT,2
UT,BWe,2
HW,SLJ,4
SLJ,HW,4
HW,UT,2
UT,HW,2
DB,Inglourious,0
DB,SLJ,1
SLJ,DB,1
DB,BP,1
BP,DB,1
DB,CW,1
CW,DB,1
DB,MP,1
MP,DB,1
DB,LB,1
LB,DB,1
DB,LP,1
LP,DB,1
DB,ES,1
ES,DB,1
DB,BWe,1
BWe,DB,1
HW,DB,1
DB,HW,1
MP,Inglourious,0
MP,SLJ,1
SLJ,MP,1
MP,BP,1
BP,MP,1
MP,CW,1
CW,MP,1
MP,LB,1
LB,MP,1
MP,LP,1
LP,MP,1
MP,ES,1
ES,MP,1
MP,BWe,1
BWe,MP,1
MP,HW,1
HW,MP,1
LB,Inglourious,0
LB,BP,1
BP,SLJ,1
LB,CW,1
CW,LB,1
LB,LP,1
LP,LB,1
LP,Inglourious,0
LP,ES,1
ES,LP,1
LP,BWe,1
LP,HW,1
BWe,LP,1
HW,LP,1
LP,SLJ,1
SLJ,LP,1
LP,BP,1
BP,LP,1
LP,CW,1
CW,LP,1
ES,Inglourious,0
ES,BP,1
BP,ES,1
ES,CW,1
CW,ES,1
BWe,Inglourious,0
BWe,BP,1
BP,BWe,1
BWe,CW,1
HW,Inglourious,0
HW,BP,1
BP,HW,1
HW,CW,1
CW,HW,1
CC,Django,0
CC,LDC,2
LDC,CC,2
CC,SLJ,1
SLJ,CC,1
CC,CW,1
CW,CC,1
CC,ZB,2
ZB,CC,2
CC,GA,1
GA,CC,1
CC,SSe,1
SSe,CC,1
CC,RG,1
RG,CC,1
CC,PS,1
PS,CC,1
CC,StS,1
StS,CC,1
CC,SMI,2
SMI,CC,2
CC,MS,1
MS,CC,1
CC,BWe,1
BWe,CC,1
CC,HW,1
HW,CC,1
GA,Django,0
GA,LDC,1
LDC,GA,1
GA,SLJ,1
SLJ,GA,1
GA,CW,1
CW,GA,1
GA,ZB,1
ZB,GA,1
GA,SSe,1
SSe,GA,1
GA,RG,1
RG,GA,1
GA,PS,1
PS,GA,1
GA,StS,1
StS,GA,1
GA,SMI,1
SMI,GA,1
GA,MS,1
MS,GA,1
GA,BWe,1
BWe,GA,1
GA,HW,1
HW,GA,1
SSe,Django,0
SSe,RG,1
RG,SSe,1
SSe,PS,1
PS,SSe,1
SSe,StS,1
StS,SSe,1
SSe,SMI,1
SMI,SSe,1
SSe,MS,1
MS,SSe,1
SSe,BWe,1
BWe,SSe,1
SSe,HW,1
HW,SSe,1
SSe,LDC,1
LDC,SSe,1
SSe,SLJ,1
SLJ,SSe,1
SSe,CW,1
CW,SSe,1
SSe,ZB,1
ZB,SSe,1
RG,Django,0
RG,LDC,1
LDC,RG,1
RG,SLJ,1
SLJ,RG,1
RG,CW,1
CW,RG,1
RG,ZB,1
ZB,RG,1
RG,PS,1
PS,RG,1
RG,StS,1
StS,RG,1
RG,SMI,1
SMI,RG,1
RG,MS,1
MS,RG,1
RG,BWe,1
BWe,RG,1
RG,HW,1
HW,RG,1
PS,Django,0
PS,LDC,1
LDC,PS,1
PS,SLJ,1
SLJ,PS,1
PS,CW,1
CW,PS,1
PS,ZB,1
ZB,PS,1
PS,StS,1
StS,PS,1
PS,SMI,1
SMI,PS,1
PS,MS,1
MS,PS,1
PS,BWe,1
BWe,PS,1
PS,HW,1
HW,PS,1
StS,Django,0
StS,LDC,1
LDC,StS,1
StS,CW,1
CW,StS,1
StS,ZB,2
ZB,StS,2
StS,SMI,2
SMI,StS,2
StS,MS,1
MS,StS,1
StS,BWe,2
BWe,StS,2
StS,HW,2
HW,StS,2
SMI,Django,0
SMI,LDC,2
LDC,SMI,2
SMI,SLJ,2
SLJ,SMI,2
SMI,CW,1
CW,SMI,1
SMI,MS,
MS,SMI,1
MS,Django,0
