id,name,age,sex,type,profession
LDC,Leonardo DiCaprio,48,2,1,actor
SLJ,Samuel L. Jackson,74,2,1,actor
BP,Brad Pitt,59,2,1,actor
BW,Bruce Willis,68,2,1,actor
TR,Tim Roth,62,2,1,actor
KR,Kurt Russell,72,2,1,actor
UT,Uma Thurman,53,1,1,actor
ZB,Zoe Bell,44,1,1,actor
CW,Christoph Waltz,66,2,1,actor
Birthday,My Best Friend's Birthday,1987,NA,2,movie
KB1,Kill Bill Vol. 1,2003,NA,2,movie
KB2,Kill Bill Vol. 2,2004,NA,2,movie
Django,Django Unchained,2012,NA,2,movie
Hateful,The Hateful Eight,2015,NA,2,movie
Once,Once Upon a Time in Hollywood,2019,NA,2,movie
Dogs,Reservoir Dogs,1992,NA,2,movie
Pulp,Pulp Fiction,1994,NA,2,movie
Death,Death Proof,2007,NA,2,movie
Inglourious,Inglourious Basterds,2009,NA,2,movie
RU,Ric Urbauer,,2,1,key grip
MT,Miles Thomas,,2,1,best boy grip
DA,Dink Adams,,2,1,best boy grip
LB,Lawrence Bender,,2,1,producer
RD,Richard Gladstein,,2,1,executive prod
MH,Monte Hellman,,2,1,executive prod
RW,Ronna Wallace ,,1,1,executive prod
MD,Mark Davis,,2,1,key grip
RM,Robbie Meckler,,2,1,best boy grip
DDV,Danny DeVito,,2,1,executive prod
MS,Michael Shamberg,,2,1,executive prod
StS,Stacey Sher,,1,1,executive prod
HA,Herb Ault,,2,1,key grip
GF,Greg Fausak,,2,1,best boy grip
ES,Erica Steinberg,,1,1,executive prod
EBW,E. Bennet Walsh,,2,1,executive prod
BWe,Bob Weinstein,,2,1,executive prod
HW,Harvey Weinstein,,2,1,executive prod
FS,Ferrell Shinnick,,2,1,key grip
JS,Jim Shelton,,2,1,key grip
KK,Kurt Kornemann,,2,1,best boy grip
RC,Richard Caden,,2,1,best boy grip
EA,Elizabeth Avellan,,1,1,producer
RR,Robert Rodriguez,,2,1,producer
QT,Quentin Tarantino,,2,1,producer
SMI,Shannon McIntosh,,1,1,executive prod
DB,Dieter Bähr,,2,1,key grip
MP,Markus Pluta,,2,1,best boy grip
LP,Lloyd Phillips,,2,1,executive prod
CC,Chris Centrella,,2,1,key grip
GA,Gerald Autin,,2,1,best boy grip
SSe,Steve Serne,,2,1,best boy grip
RH,Reginald Hudlin,,2,1,producer
PS,Pilar Savone,,1,1,producer
GC,Gary Chhristie,,2,1,best boy grip
GK,Georgia Kacandes,,1,1,executive prod
MH,Mark Hadland,,2,1,best boy grip
DH,David Heyman,,2,1,producer
JC,Jeffrey Chan,,2,1,executive prod
DY,Dong Yu,,2,1,executive prod
