from,to,weight
LDC,Django,0
LDC,Once,0
LDC,SLJ,2
LDC,CW,1
LDC,ZB,2
LDC,BP,1
LDC,KR,1
SLJ,TR,2
SLJ,Pulp,0
SLJ,KB1,0
SLJ,Inglourious,0
SLJ,Django,0
SLJ,Hateful,0
SLJ,CW,2
SLJ,LDC,1
SLJ,BP,1
SLJ,ZB,2
SLJ,UT,2
SLJ,BW,1
SLJ,KR,1
BP,Inglourious,0
BP,Once,0
BP,SLJ,1
BP,LDC,1
BP,CW,1
BP,ZB,1
BP,KR,1
CW,Inglourious,0
CW,Django,0
CW,SLJ,2
CW,LDC,1
CW,BP,1
CW,ZB,1
TR,Dogs,0
TR,Pulp,0
TR,Hateful,0
TR,SLJ,2
TR,ZB,1
TR,KR,1
TR,UT,1
TR,BW,1
ZB,Death,0
ZB,Django,0
ZB,Hateful,0
ZB,Once,0
ZB,SLJ,2
ZB,LDC,2
ZB,CW,1
ZB,KR,3
UT,Pulp,0
UT,KB1,0
UT,KB2,0
UT,SLJ,2
UT,TR,1
UT,BW,1
BW,Pulp,0
BW,SLJ,1
BW,TR,1
BW,UT,1
KR,Death,0
KR,Hateful,0
KR,Once,0
KR,SLJ,1
KR,BP,1
KR,TR,1
KR,LDC,1
KR,ZB,3
