id,name,age,sex,type
LDC,Leonardo DiCaprio,48,2,1
SLJ,Samuel L. Jackson,74,2,1
BP,Brad Pitt,59,2,1
BW,Bruce Willis,68,2,1
TR,Tim Roth,62,2,1
KR,Kurt Russell,72,2,1
UT,Uma Thurman,53,1,1
ZB,Zoe Bell,44,1,1
CW,Christoph Waltz,66,2,1
Birthday,My best friends birthday,1987,NA,2
KB1,kill billl vol. 1,2003,NA,2
KB2,kill bill vol. 2,2004,NA,2
Django,Django unchained,2012,NA,2
Hateful,Hateful eight,2015,NA,2
Once,Once upon a time in hollywood,2019,NA,2
Dogs,reservoir dogs,1992,NA,2
Pulp,Pulp fiction,1994,NA,2
Death,Death Proof,2007,NA,2
Inglourious,Inglourious basterds,2009,NA,2
